matrix_size,time,num_threads
600,0.18035,8
1000,0.54386,8
1400,1.44605,8
1800,3.08444,8
2200,6.21966,8
2600,9.22157,8
3000,13.7711,8
4096,33.9135,8
6144,104.929,8
8192,251.294,8
10240,488.46,8
