matrix_size,time,L1_DCM,L2_DCM
600,0.10105,27200527,57820330
1000,0.635779,126017267,255640161
1400,1.78334,346650179,679137829
1800,3.36629,746315527,1441941624
2200,6.20473,2075179753,2560751016
2600,10.354,4414618395,4154445323
3000,15.9597,6783182619,6317024433

