matrix_size,time,num_threads
600,0.207179,8
1000,0.6544283333333333,8
1400,1.9311600000000002,8
1800,3.6752033333333336,8
2200,5.817006666666667,8
2600,9.39089,8
3000,13.923333333333332,8
4096,34.63073333333333,8
6144,105.54699999999998,8
8192,247.894,8
10240,472.73499999999996,8
