matrix_size,time,L1_DCM,L2_DCM
600,0.187474,244563592,40993201
1000,1.19991,1214973985,257860006
1400,3.68046,3485471677,1103849712
1800,18.1072,9076400705,7875600246
2200,38.1981,17663113797,22963136066
2600,67.9289,30907422471,50321464096
3000,114.391,50304497901,94539531046

